title,description,authority,area_requirements,capacity_requirements,special_requirements,priority,cost_estimate,processing_time,requirement_id,category,importance,area_extracted,capacity_extracted,requires_gas,meat_related,delivery_related,outdoor_related,alcohol_related
"פעולות האיוד (במסגרת פעולות ההדברה) יבוצעו ע""י מדביר בעל היתר לאיוד.","פעולות האיוד (במסגרת פעולות ההדברה) יבוצעו ע""י מדביר בעל היתר לאיוד.","בהדברה בעסקי מזון, יש להשתמש אך ורק בתכשירי הדברה המאושרים להדברה תברואתית ע""י המשרד לאיכות הסביבה.","","","",medium,"","",38,bar,low,"","",false,false,false,false,false
"13.      בנוסף ליומן ההדברה בעסק, יהיה בכל עסק גם תיק הדברה ,אשר יכלול את המידע הבא: שם המדביר וחברתו, כתובת, מספר טלפון, פקס וכד', העתקים של היתר ההדברה בתוקף, של רישיון העסק של המדביר, של היתר הרעלים, של תוויות חוקיות וגיליונות הבטיחות (MSDS) של תכשירי הדברה שנעשה בהם שימוש, מפת האתר עם ציון תחנות הנטור וההדברה, דוגמאות של תוויות אזהרה וכל חומר רלוונטי אחר – לפי חלטת המדביר והאחראי מטעם העסק.","13.      בנוסף ליומן ההדברה בעסק, יהיה בכל עסק גם תיק הדברה ,אשר יכלול את המידע הבא: שם המדביר וחברתו, כתובת, מספר טלפון, פקס וכד', העתקים של היתר ההדברה בתוקף, של רישיון העסק של המדביר, של היתר הרעלים, של תוויות חוקיות וגיליונות הבטיחות (MSDS) של תכשירי הדברה שנעשה בהם שימוש, מפת האתר עם ציון תחנות הנטור וההדברה, דוגמאות של תוויות אזהרה וכל חומר רלוונטי אחר – לפי חלטת המדביר והאחראי מטעם העסק.",ניתן למצוא את רשימת תכשירי ההדברה המאושרות להדברה תברואתית באתר המשרד להגנת הסביבה: www.sviva.gov.il,"","","בית אוכל  הכנת מזון למכירתו לצריכה מחוץ למקום הכנתו, לרבות משלוח מזון;",medium,"","",40,bar,high,"","",false,false,true,false,false
"(א) רשיון עסק לפי תקנות רישוי עסקים (תנאים תברואיים לעסקים 		        לייצור מזון), התשל""ב-1972;","(א) רשיון עסק לפי תקנות רישוי עסקים (תנאים תברואיים לעסקים 		        לייצור מזון), התשל""ב-1972;","","","","9.3 אספקת  בשר, עופות ודגים תהיה ממקור בעל רשיון יצרן.  לבשר ולדגים יהיו כל תעודה וטרינרית הנדרשת לפי כל דין והם יבדקו בבדיקות משנה כנדרש על פי כל דין:; בשר, דגים, עוף יגיעו בלווי תעודות וטרנריות, בנוסף לאמור בסעיף 2(א) לעיל.;",medium,"","",49,bar,low,"","",false,false,false,false,false
"הובלת בשר, עופות ודגים לעסק תהיה בהתאם לתקנות רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם), התשל""ב - 1971;","הובלת בשר, עופות ודגים לעסק תהיה בהתאם לתקנות רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם), התשל""ב - 1971;","","","","הובלת בשר, עופות ודגים לעסק תהיה בהתאם לתקנות רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם), התשל""ב - 1971;; 9.4 בשר, בשר עופות, דגים ומוצריהם אלא אם כן הובלו לעסק בהתאם לתקנות;",medium,"","",50,bar,low,"","",false,true,false,false,false
"רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם),","רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם),","","","","רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם),;",medium,"","",51,bar,low,"","",false,true,false,false,false
"בית אוכל - מסעדה לרבות משלוח מזון ולרבות הגשת משקאות משכרים לצריכה במקום ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8, והמיועד ל-50 איש לכל היותר ששטחו המבונה עד 150 מ""ר לרבות סגירת חורף ועונה על תנאי מסלול ""אישור על יסוד תצהיר"" בהתאם לצו רישוי עסקים (עסקים טעוני רישוי), התשע""ג-2013","בית אוכל - מסעדה לרבות משלוח מזון ולרבות הגשת משקאות משכרים לצריכה במקום ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8, והמיועד ל-50 איש לכל היותר ששטחו המבונה עד 150 מ""ר לרבות סגירת חורף ועונה על תנאי מסלול ""אישור על יסוד תצהיר"" בהתאם לצו רישוי עסקים (עסקים טעוני רישוי), התשע""ג-2013","חוק הרשות הארצית לכבאות והצלה, התשע""ב-2012, והתקנות על פיו.","150 מ""ר","","""גפ""מ"" - גז פחמימני מעובה כמשמעותו בתקן ישראל ת""י 158.; מערכת הגפ""מ המשמשת את העסק תענה לנדרש בתקן ישראלי ת""י 158, מתקנים לגזים פחמימניים מעובים, המסופקים בתוך מכלים מטלטלים.;",medium,"","",55,restaurant,low,"150 מ""ר","",false,false,true,false,true
"אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראל ת""י 158. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי תקנות הגז (בטיחות ברישוי) (רישוי עסקים עבודות בגפ""מ) תשס""ו-2006, אשר רשאי ליתן אישור כאמור, בהתאם לסוג רישיונו (זאת במידה וקיימת מערכת גז בעסק).","אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראל ת""י 158. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי תקנות הגז (בטיחות ברישוי) (רישוי עסקים עבודות בגפ""מ) תשס""ו-2006, אשר רשאי ליתן אישור כאמור, בהתאם לסוג רישיונו (זאת במידה וקיימת מערכת גז בעסק).","חוק הרשות הארצית לכבאות והצלה, התשע""ב-2012.","","","אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראל ת""י 158. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי תקנות הגז (בטיחות ברישוי) (רישוי עסקים עבודות בגפ""מ) תשס""ו-2006, אשר רשאי ליתן אישור כאמור, בהתאם לסוג רישיונו (זאת במידה וקיימת מערכת גז בעסק).;",medium,"","",56,bar,high,"","",true,false,false,false,false
"נספח תיאור אמצעים לבטיחות אש, כאמור בתקנה 11א לתקנות התכנון והבנייה. דרישה זו לא תחול על עסק ששטחו הכולל אינו עולה על 100 מ""ר, ושאינו מיועד להכיל מעל 50 איש או לאחסון חומרים מסוכנים. ניתן להגיש העתק מנספח תיאור אמצעים לבטיחות אש שצורפה לבקשה להיתר בנייה, ובלבד שיצורפו אליו כל אלה:","נספח תיאור אמצעים לבטיחות אש, כאמור בתקנה 11א לתקנות התכנון והבנייה. דרישה זו לא תחול על עסק ששטחו הכולל אינו עולה על 100 מ""ר, ושאינו מיועד להכיל מעל 50 איש או לאחסון חומרים מסוכנים. ניתן להגיש העתק מנספח תיאור אמצעים לבטיחות אש שצורפה לבקשה להיתר בנייה, ובלבד שיצורפו אליו כל אלה:","","100 מ""ר","","",medium,"","",60,safety,high,"100 מ""ר","",false,false,false,false,false
"בעל העסק יודיע לנותן האישור על כוונה לניתוק יזום של מערכות כיבוי אש על ידו, וזאת לכל הפחות שבעה ימים לפני היום שבו מתוכנן הניתוק; לעניין סעיף זה, ""מערכת כיבוי אש"" - אחת מהמערכות הבאות, אם מתקיימת לגביה חובה להתקינה על-פי דין: גלאים, מתיזים, גנרטור, מערכת על לחץ ושחרור עשן.","בעל העסק יודיע לנותן האישור על כוונה לניתוק יזום של מערכות כיבוי אש על ידו, וזאת לכל הפחות שבעה ימים לפני היום שבו מתוכנן הניתוק; לעניין סעיף זה, ""מערכת כיבוי אש"" - אחת מהמערכות הבאות, אם מתקיימת לגביה חובה להתקינה על-פי דין: גלאים, מתיזים, גנרטור, מערכת על לחץ ושחרור עשן.","","","","",medium,"","",62,safety,high,"","",false,false,true,false,true
"מבלי לגרוע מכלליות האמור בסעיפים 6.1.1 ו-6.5.2, אין בהוראות מפרט זה כדי לגרוע מהדרישות הקבועות בתקנות התכנון והבנייה לצורך קבלת היתר בנייה, כפי שחלו במועד שבו הוגשה הבקשה להיתר בנייה, ובכל מקום שבו ישנה התייחסות במפרט לדרישות הנוגעות לבטיחות אש בעסק, הן תבואנה בנוסף לדרישות תקנות אלו.","מבלי לגרוע מכלליות האמור בסעיפים 6.1.1 ו-6.5.2, אין בהוראות מפרט זה כדי לגרוע מהדרישות הקבועות בתקנות התכנון והבנייה לצורך קבלת היתר בנייה, כפי שחלו במועד שבו הוגשה הבקשה להיתר בנייה, ובכל מקום שבו ישנה התייחסות במפרט לדרישות הנוגעות לבטיחות אש בעסק, הן תבואנה בנוסף לדרישות תקנות אלו.","מערכת המתזים תתאים בכל עת לסיווג המבנה, ייעודו, מיקומו, לשטחו, השימוש בו ודרגת סיכון האש של חלקיו (כגון: אזור אחסנה, אזור משרדים, אזור מכירות וכו').","50 מ""ר",6 אנשים,"חומרי הציפוי והגימור שבהם ייעשה שימוש במבנה או במבנים, לרבות מבנים יבילים המשמשים את העסק יעמדו בתקן ישראלי ת""י 921 השימוש בחומרי בניה לפי תגובותיהם בשריפה. בדיקת אי דליקותם וסיווגם של החומרים תיערך בהתאם לתקן ישראלי ת""י 755 סיווג בשרפה של מוצרי בנייה ואלמנטי בניין - שיטות בדיקה וסיווג לפי תוצאות הבדיקה. לעניין סעיף זה, שימוש בחומרי ציפוי וגימור כולל הן שימוש הן פנימי והן שימוש חיצוני.; בעסק המיועד לאחסון חומרים מסוכנים, לייצורם או לשימוש בהם וגודלו עולה על20  מ""ר יהיו לפחות שני פתחי יציאה ברוחב של 0.9 מ' נטו לפחות כל אחד, כאשר דלת אחת לפחות תיפתח ישירות אל החוץ.; בעסק ששטחו הכולל מעל 800 מ""ר, יותקן חיבור הסנקת מים לברזי הכיבוי המתוקנים בעסק. ברז ההסנקה יוצב מחוץ לעסק, במרחק שלא יעלה על 6 מטרים מקצה העסק.;",medium,"","",63,safety,high,"","",false,false,false,false,false
"אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראלי ת""י 158, לרבות התייחסות לגלאי הגפ""מ. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי חוק הגז (בטיחות ורישוי), התשמ""ט-1988, אשר רשאי ליתן אישור כאמור בהתאם לסוג רישיונו.","אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראלי ת""י 158, לרבות התייחסות לגלאי הגפ""מ. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי חוק הגז (בטיחות ורישוי), התשמ""ט-1988, אשר רשאי ליתן אישור כאמור בהתאם לסוג רישיונו.",את פרסומי הרשות הארצית לכבאות והצלה ניתן למצוא ולהוריד באתר הרשות הארצית לכבאות והצלה.,"","","אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראלי ת""י 158, לרבות התייחסות לגלאי הגפ""מ. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי חוק הגז (בטיחות ורישוי), התשמ""ט-1988, אשר רשאי ליתן אישור כאמור בהתאם לסוג רישיונו.; אישור גורם מוסמך המעיד על כך שמערכת הכיבוי המותקנת בארון החשמל נבדקה ונמצאה תקינה, בהתאמה מלאה לתקן ישראלי ת""י 5210, מערכות לכיבוי אש בארוסול, או תקן ישראלי ת""י 1597, מערכות כיבוי אש אוטומטיות בגז כיבוי, בהתאם לסוג המערכת המותקנת.; 4.2 | בשר ודגים – אישור וטרינרי | מס' 3 | 8; מקפיא בשר/דגים | מקפיא  נקי; (לא בשרי) | מקרר ירקות | מקרר גלם חלבי; שטיפה וניקוי ירקות | עיבוד בשר/ דגים | בישול | הכנת סלטים | מטבח חלבי | שטיפת כלי עבודה;",medium,"","",65,safety,high,"","",true,false,false,false,false
